parcel_id,max_built_dua,max_built_non_res_far,zoningmodcat
6621,174.0,,53000OKD3bart1NANA
6632,163.0,,53000OKD3bart1NANA
6634,169.0,,53000OKD3bart1NANA
6635,,9.4,53000OKD3bart1NANA
6642,161.0,,53000OKD3bart1NANA
6643,166.0,,53000OKD3bart1NANA
6673,163.0,,53000OKD3bart1NANA
6681,108.0,,53000OKD7lrt2NANA
6682,113.0,,53000OKD7lrt2NANA
6686,166.0,,53000OKD3lrt2NANA
6698,80.0,,53000OKD7lrt2NANA
6708,86.0,,53000OKD7lrt2NANA
6709,86.0,,53000OKD7lrt2NANA
6721,110.0,,53000OKD7lrt2NANA
6722,114.0,,53000OKD7lrt2NANA
6730,88.0,,53000OKD7lrt2NANA
6736,88.0,,53000OKD7lrt2NANA
6740,88.0,,53000OKD7lrt2NANA
6745,105.0,,53000OKD7brt1NANA
6762,,9.4,53000OKD3bart1NANA
6789,90.0,,53000OKD7brt1NANA
6800,82.0,,53000OKD7lrt2NANA
6813,87.0,,53000OKD7lrt2NANA
6814,87.0,,53000OKD7lrt2NANA
6829,116.0,,53000OKD7lrt2NANA
6849,77.0,,53000OKD7brt1NANA
6859,168.0,,53000OKD3lrt2NANA
6861,108.0,,53000OKD7lrt2NANA
6863,108.0,,53000OKD7lrt2NANA
6868,107.0,,53000OKD7lrt2NANA
6869,108.0,,53000OKD7lrt2NANA
6875,165.0,,53000OKD3lrt2NANA
6908,172.0,,53000OKD3lrt2NANA
6910,172.0,,53000OKD3lrt2NANA
6913,168.0,,53000OKD3lrt2NANA
6966,164.0,,53000OKD3lrt2NANA
6984,,9.4,53000OKD3lrt2NANA
6992,172.0,,53000OKD3lrt2NANA
6993,172.0,,53000OKD3lrt2NANA
6994,168.0,,53000OKD3lrt2NANA
7001,170.0,,53000OKD3lrt2NANA
7007,104.0,,53000OKD7lrt2NANA
7009,105.0,,53000OKD7lrt2NANA
7010,111.0,,53000OKD7lrt2NANA
7018,169.0,,53000OKD3lrt2NANA
7021,103.0,,53000OKD7lrt2NANA
7062,85.0,,53000OKD7brt1NANA
7069,83.0,,53000OKD7brt1NANA
7077,112.0,,53000OKD7brt1NANA
7117,107.0,,53000OKD7brt1NANA
7162,169.0,,53000OKD3lrt2NANA
7190,169.0,,53000OKD3lrt2NANA
7195,110.0,,53000OKD7lrt2NANA
7196,113.0,,53000OKD7lrt2NANA
7197,173.0,,53000OKD3lrt2NANA
7198,166.0,,53000OKD3lrt2NANA
7221,275.0,,53000OKD3lrt2NANA
7261,167.0,,53000OKD3lrt2NANA
7282,35.0,,53000OKD1lrt2NANA
7315,165.0,,53000OKD3lrt2NANA
7329,167.0,,53000OKD3lrt2NANA
7337,166.0,,53000OKD3lrt2NANA
7347,113.0,,53000OKD7lrt2NANA
7352,105.0,,53000OKD7lrt2NANA
7356,172.0,,53000OKD3lrt2NANA
7360,110.0,,53000OKD7brt1NANA
7363,113.0,,53000OKD7lrt2NANA
7364,113.0,,53000OKD7lrt2NANA
7366,81.0,,53000OKD7lrt2NANA
7396,81.0,,53000OKD7brt1NANA
7419,81.0,,53000OKD7brt1NANA
7422,109.0,,53000OKD7brt1NANA
7455,77.0,,53000OKD7brt1NANA
7459,81.0,,53000OKD7brt1NANA
7466,81.0,,53000OKD7brt1NANA
7472,85.0,,53000OKD7brt1NANA
7483,83.0,,53000OKD7brt1NANA
7486,86.0,,53000OKD7brt1NANA
7488,80.0,,53000OKD7brt1NANA
7491,104.0,,53000OKD7brt1NANA
7492,104.0,,53000OKD7brt1NANA
7514,85.0,,53000OKD7brt1NANA
7526,83.0,,53000OKD7brt1NANA
7537,162.0,,53000OKD3lrt2NANA
