zoningmodcat,max_built_dua,max_built_non_res_far
68000SJO4bart1NANA,259.0,9.4
68000SJO4brt1NANA,39.0,
68000SJO4brt2NANA,106.0,2.8
68000SJO4lrt1NANA,155.0,6.0
68000SJO4lrt2NANA,141.0,5.1
68000SJO4lrt3NANA,123.0,
68000SJO5NANANA,110.0,
68000SJO5b3NANA,139.0,
68000SJO5bart2NANA,122.0,6.0
68000SJO6NANANA,4.0,
68000SJO6b1NANA,3.0,
68000SJO6b2NANA,3.0,
68000SJO6lrt2NANA,2.0,
68000SJO7b2NANA,182.0,
68000SJO7bart1NANA,122.0,6.0
68000SJO7lrt2NANA,184.0,6.0
68000SJO7lrt3NANA,106.0,5.9
68000SJO8b1NANA,85.0,
68000SJO8b2NANA,83.0,
68000SJO8b3NANA,87.0,
68000SJO8bart2NANA,140.0,
68000SJO8brt1NANA,85.0,
68000SJO8brt2NANA,58.0,
68000SJO8lrt2NANA,138.0,
68000SJO9b3NANA,74.0,
68000SJO9lrt2NANA,85.0,5.1
68000VTA1_ib1NANA,85.0,0.9
68000VTA1_ib2NANA,111.0,
68000VTA1_ib3NANA,84.0,
68000VTA1_ibart1NANA,21.0,
68000VTA1_ibrt2NANA,84.0,
68000VTA1_ilrt2NANA,91.0,2.6
68000VTA1_ilrt3NANA,140.0,2.6
68084NANANANA,20.0,0.4
68084NAb2NANA,6.0,
68084NAb3NANA,4.0,
68084NAbart1NANA,18.0,
68084NAbrt1NANA,23.0,
68084SLE1b1NANA,46.0,
68084SLE1bart1NANA,62.0,
68084SLE2b1NANA,43.0,
68084SLE2b2NANA,43.0,5.1
68084SLE3bart1NANA,110.0,
68084SLE3brt1NANA,109.0,
68252NANANANA,37.0,
68252NAb2NANA,34.0,
68252NAb3NANA,37.0,
68252NAbrt2NANA,36.0,
68252NAcr3NANA,51.0,
68252SMA1cr3NANA,95.0,
68252SMA2NANANA,67.0,
68252SMA2brt2NANA,45.0,
68252SMA2cr3NANA,93.0,
68252SMA3brt2NANA,40.0,
68252SMA3cr3NANA,52.0,
68252SMA4b2NANA,48.0,
68252SMA4brt2NANA,46.0,
68252SMA4cr3NANA,93.0,
68294NANANANA,22.0,
68294NAb3NANA,10.0,
68294NAbrt1NANA,61.0,
68294SPA1brt1NANA,49.0,0.8
68294SPA2b3NANA,,2.8
68294WCC1_cbrt1NANA,48.0,
68364NANANANA,27.0,
68364NAb1NANA,60.0,
68364NAb2NANA,31.0,
68364NAb3NANA,29.0,
68364SRA1b1NANA,67.0,
68364SRA1b2NANA,48.0,
68378NANANANA,23.0,0.2
68378NAb3NANA,16.0,
68378SAR1NANANA,46.0,
68378SAR2b2NANA,29.0,4.7
69084NANANANA,35.0,
69084NAb2NANA,13.0,0.8
69084NAb3NANA,13.0,
69084NAbart2NANA,33.0,
69084NAlrt1NANA,35.0,0.9
69084SCL1b1NANA,61.0,
69084SCL1brt2NANA,74.0,
69084SCL2bart2NANA,271.0,
70098NANANANA,56.0,
70098NAb1NANA,56.0,0.2
70098NAb2NANA,56.0,
70098NAb3NANA,26.0,
70098SRO1b1NANA,94.0,2.6
70098SRO1b2NANA,39.0,
70098SRO1b3NANA,54.0,
70098SRO1cr4NANA,30.0,
70098SRO2NANANA,61.0,
70098SRO2NAexp1NA,11.0,
70098SRO2b1NANA,62.0,
70098SRO2b2NANA,80.0,
70098SRO2b3NANA,61.0,
70098SRO3NANANA,14.0,
70098SRO3b2NANA,46.0,
70098SRO3b3NANA,62.0,
70098SRO4NANANA,16.0,
70098SRO4b2NANA,61.0,
70098SRO4b3NANA,62.0,
70098SRO4cr4NANA,47.0,0.6
70098SRO5NANANA,47.0,
70098SRO5b2NANA,61.0,
70098SRO5b3NANA,18.0,
70280NANANANA,15.0,
70364NANANANA,28.0,
70770SEB1NANANA,41.0,
72646NANANANA,17.0,
73262CCG1_cbart2NANA,93.0,7.7
73262CCG1_cbrt2NANA,43.0,3.2
73262NANANANA,28.0,0.9
73262NAb2NANA,31.0,0.8
73262NAb3NANA,19.0,
73262NAbart2NANA,,0.4
73262NAcr3NANA,,0.9
73262SSF1b2NANA,268.0,
73262SSF1cr3NANA,281.0,9.4
75630NANANANA,6.0,
75630SUI1NANANA,75.0,
77000NANANANA,19.0,0.9
77000NAb2NANA,22.0,
77000NAb3NANA,40.0,
77000NAlrt1NANA,,0.9
77000NAlrt3NANA,,0.8
77000SUN1NANANA,170.0,
77000SUN1cr3NANA,261.0,
77000SUN2brt2NANA,218.0,
77000SUN2cr3NANA,223.0,3.2
77000SUN3b1NANA,185.0,2.6
77000SUN3b2NANA,153.0,2.1
77000SUN3brt2NANA,277.0,5.1
77000SUN6NANANA,35.0,
77000SUN6b3NANA,45.0,
77000SUN8lrt1NANA,127.0,3.2
81204NANANANA,15.0,
81204NAb1NANA,6.0,
81204NAb2NANA,13.0,
81204NAbart2NANA,10.0,1.3
81554NANANANA,21.0,
81554NAb2NANA,22.0,
81554NAb3NANA,5.0,
81554VAC1b2NANA,47.0,
81554VAC2b3NANA,37.0,
81666NANANANA,20.0,
81666NAb1NANA,17.0,
81666NAb2NANA,16.0,0.6
81666NAb3NANA,,0.6
81666VAL1b1NANA,88.0,
81666VAL2b1NANA,85.0,
81666VAL2b2NANA,74.0,
81666VAL2b3NANA,47.0,
83346NANANANA,19.0,1.7
83346NAb2NANA,15.0,
83346NAb3NANA,37.0,
83346NAbart3NANA,11.0,
83346WAL1NANANA,46.0,
83346WAL1b1NANA,86.0,5.9
83346WAL1b2NANA,61.0,5.1
83346WAL1b3NANA,87.0,4.3
83346WAL1bart3NANA,93.0,7.7
85922NANANANA,26.0,
85922NANAexp1NA,8.0,
85922WIN1NANANA,46.0,
85922WIN1cr4NANA,49.0,
86440NANANANA,15.0,
86930NANANANA,6.0,
