development_id,SDEM,ave_sqft_per_unit,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,county,current_units,deed_restricted_units,exp_id,fees,form,geom_id,inclusionary_units,job_spaces,juris,juris_name,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,opp_id,parcel_id,parcel_size,parking_config,parking_ratio,pda,pda_id,perfarea,perffoot,policy_based_revenue_reduction,policy_name,redfin_sale_year,regional,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,return_on_cost,stories,subaccount,subsidized,subsidized_units,subsidy_per_unit,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,vmt_res_cat,x,y,year_built,zoningmodcat
6601,,1000.0,1000.0,3061141.67417,2630346.15501,518.450088501,6794269.18825,12707.1053307,3.0,Alameda,0.0,1,,0.0,residential,12094855574986,1.0,0.0,Oakland,Oakland,53000.0,3336296.45116,55.7562635063,,,-211040.775661,1.8,1.828553834,9.0,0.0,0.0,1999.0,,50509,7059.50296152,surface,0.0,okd5,okd5,1.0,1.0,595680.00433,OBAG,2012.0,1.0,763.83240618,0.0,763.83240618,8894.97373152,9.0,1.56312570815e-07,5.0,1.0,True,0.0,26380.0969576,18.0,6397438.12533,0.0,7461.0,brt1,S,-122.209995768,37.7662691827,2040.0,53000OKD5brt1NANA
6602,,800.0,1000.0,6125513.57504,4506058.88086,920.355163574,11021794.8159,29938.97153,3.0,Santa Clara,5.0,5,,0.0,residential,16235800898780,5.0,0.0,San Jose,San Jose,68000.0,4625814.76698,200.0,,,-686262.167659,5.0,5.24727797455,16.0,0.0,0.0,1941.0,,1545401,5987.79430601,deck,0.2,sjo4,sjo4,1.0,1.0,917083.24802,OBAG,2012.0,1.0,657.39654541,0.0,657.39654541,20957.280071,21.0,9.30117626574e-08,7.0,1.0,True,0.0,26394.6987561,11.0,10751328.342,5.0,7200.0,lrt2,S,-121.884154559,37.3443198292,2040.0,68000SJO4lrt2NANA
6603,,900.0,1000.0,4779129.59352,4386532.03857,920.488357544,8876972.85338,25556.8427461,3.0,Sonoma,0.0,0,,0.0,residential,14806733259208,0.0,0.0,Santa Rosa,Santa Rosa,70098.0,4556910.99021,104.740519522,,,-501543.936141,3.0,3.09151474386,18.0,0.0,0.0,1914.0,,1886060,8518.94758203,deck,0.2,sro1,sro1,1.0,1.0,0.0,OBAG,2012.0,1.0,620.254129028,0.0,620.254129028,17889.7899223,18.0,1.07111788025e-07,4.0,1.0,True,0.0,26397.0492706,30.0,9336040.58373,0.0,7008.0,b1,S,-122.719758244,38.4370974922,2040.0,70098SRO1b1NANA
6604,,900.0,1000.0,2860016.29292,5116703.50595,1207.79518127,7811513.34321,15294.204775,3.0,San Mateo,0.0,0,,0.0,residential,8977821803157,0.0,0.0,San Mateo,San Mateo,68252.0,5227934.08613,100.0,,,-290509.621561,2.75,2.95159386068,11.0,0.0,0.0,1952.0,,1123844,5561.52900908,deck,0.2,sma1,sma1,1.0,1.0,0.0,OBAG,2012.0,1.0,912.053367615,0.0,912.053367615,10705.9433425,11.0,1.23640718987e-07,4.0,1.0,True,0.0,26409.9655964,6.0,8087950.37905,0.0,6230.0,cr3,S,-122.321243476,37.5674239535,2040.0,68252SMA1cr3NANA
6605,,1000.0,1000.0,1216830.74332,891084.559148,827.284387207,2089383.71902,5051.18614911,3.0,Santa Clara,2.0,0,,0.0,residential,11469434754214,0.0,0.0,San Jose,San Jose,68000.0,947208.849694,60.2209280902,,,-79233.1779301,1.8,1.97497468484,2.0,0.0,0.0,1918.0,,1556838,2806.21452728,surface,0.0,sjo8,sjo8,1.0,1.0,0.0,OBAG,2012.0,1.0,590.917419434,0.0,590.917419434,3535.83030438,4.0,4.62098754213e-07,5.0,1.0,True,0.0,26411.05931,12.0,2164039.59301,2.0,1584.0,bart2,S,-121.859218,37.3486559861,2040.0,68000SJO8bart2NANA
6606,,1093.0,1093.0,107936178.174,30046442.7502,541.494426727,162212986.758,527547.302903,3.0,Alameda,0.0,67,,0.0,residential,16907878361839,67.0,0.0,Oakland,Oakland,53000.0,41769716.1481,131.497741483,,,-8909162.94373,4.5,4.71359804016,338.0,0.0,0.0,1970.0,,70344,117232.733978,deck,0.2,okd2,okd2,1.0,1.0,20901572.6714,OBAG,2012.0,1.0,549.080710275,0.0,549.080710275,369283.112032,338.0,6.67976370956e-09,6.0,1.0,True,0.0,26436.685293,18.0,149705894.322,0.0,81600.0,b2,S,-122.203142642,37.7396298782,2040.0,53000OKD2b2NANA
6607,,900.0,1000.0,733406.072872,2027735.3168,1728.67460937,2711915.41505,3921.95760894,3.0,Santa Clara,2.0,0,,0.0,residential,13787364482005,0.0,0.0,Sunnyvale,Sunnyvale,77000.0,2056258.64486,100.0,,,-79312.0636698,2.75,2.95159386068,1.0,0.0,0.0,2012.0,,1297547,1426.16640325,deck,0.2,sun8,sun8,1.0,1.0,0.0,OBAG,2012.0,1.0,1234.76757812,0.0,1234.76757812,2745.37032626,3.0,3.58466016953e-07,4.0,1.0,True,0.0,26437.3545566,9.0,2789664.71773,2.0,1725.0,lrt1,M,-122.013966101,37.3995957824,2040.0,77000SUN8lrt1NANA
6608,,800.0,1000.0,1946715.8936,2092036.38232,1259.83787537,3869498.18566,10410.2454203,3.0,Santa Clara,0.0,0,,0.0,residential,17081627257994,0.0,0.0,Mountain View,Mountain View,49670.0,2151523.49901,150.0,,,-238005.683306,3.5,3.93545848091,7.0,0.0,0.0,1952.0,,1322451,2974.35583438,deck,0.2,mvw2,mvw2,1.0,1.0,0.0,OBAG,2012.0,1.0,663.751708984,0.0,663.751708984,7287.17179423,7.0,2.44007219735e-07,5.0,1.0,True,0.0,26445.0759228,8.0,4098239.39261,0.0,2442.0,cr2,M,-122.078237844,37.3944509329,2040.0,49670MVW2cr2NANA
6609,,1000.0,1000.0,2292197.39682,2163476.15608,940.183978271,4922538.29951,10471.4362577,3.0,Alameda,4.0,1,,0.0,residential,10601284507476,1.0,0.0,Oakland,Oakland,53000.0,2303095.30618,50.0,,,-185129.867873,1.5,1.63977436705,3.0,0.0,0.0,1954.0,,56236,6980.95750516,surface,0.0,okd1,okd1,1.0,1.0,503407.58263,OBAG,2012.0,1.0,671.55998448,0.0,671.55998448,7330.00538042,7.0,2.17613994283e-07,4.0,1.0,True,0.0,26447.1239819,18.0,4595292.703,4.0,3384.0,brt3,S,-122.180867787,37.7776831313,2040.0,53000OKD1brt3NANA
6610,,800.0,1000.0,7803020.01232,6580917.36094,978.743896484,14930905.5938,38137.927724,3.0,Santa Clara,8.0,6,,0.0,residential,10273572187330,6.0,0.0,San Jose,San Jose,68000.0,6689882.86872,292.351699605,,,-873087.434892,7.0,7.67025317079,19.0,0.0,0.0,1946.0,,1545305,5448.27538914,deck,0.2,sjo4,sjo4,1.0,1.0,1260651.85075,OBAG,2012.0,1.0,699.102783203,0.0,699.102783203,26696.5494068,27.0,6.89992893907e-08,9.0,1.0,True,0.0,26457.1949967,11.0,14492902.881,8.0,9888.0,bart1,S,-121.888828138,37.3421890149,2040.0,68000SJO4bart1NANA
