development_id,SDEM,ave_unit_size,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,building_type_id,county,current_units,deed_restricted_units,fees,form,geom_id,inclusionary_units,job_spaces,juris,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,net_units,non_residential_price,non_residential_sqft,oldest_building,parcel_id,parcel_size,parking_config,parking_ratio,pda,policy_based_revenue_reduction,redfin_sale_year,residential,residential_price,residential_sales_price_sqft,residential_sqft,residential_units,retail_ratio,return_on_cost,stories,subsidized,subsidized_units,superdistrict,total_cost,total_residential_units,total_sqft,vmt_res_cat,x,y,year_built
9459,,1000.0,24684296.4506,0.0,150.0,83366757.1751,132001.585297,3.0,San Francisco,0.0,24,0.0,residential,1.32986680925e+13,24.0,0.0,San Francisco,240002.882359,116.16,,,48172504.5802,2.75,2.82352941176,112.0,0.0,0.0,9999.0,988657,48000.5764717,deck,0.2,sfo1,11214512.1753,2012.0,928.762878418,0.0,928.762878418,112201.347503,112.0,,1.93275260968,4.0,False,0.0,3.0,24924299.3329,0.0,0.0,S,-122.371828269,37.7316557713,2040.0
9460,,2343.0,2145961.32714,0.0,1068.50366374,6359793.80423,9803.38660182,2.0,Contra Costa,0.0,0,0.0,residential,8.95446038426e+12,0.0,0.0,Lafayette,196067.732036,17.0,,,3997675.92133,1.0,1.07575757576,4.0,0.0,0.0,1950.0,714887,9803.38660182,surface,0.0,,0.0,2012.0,763.216902669,0.0,763.216902669,8332.87861155,4.0,,1.70692840282,2.0,False,0.0,22.0,2342029.05918,0.0,0.0,MH,-122.135041911,37.887561426,2040.0
9461,,1945.37009674,5726147.52264,2843046.68264,1041.59217834,19602756.404,26158.7369696,2.0,San Mateo,0.0,0,0.0,residential,9.98041699277e+12,0.0,0.0,San Carlos,3366221.42203,20.0,,,10510387.4594,1.0,1.05081299451,11.0,0.0,0.0,2004.0,1151345,26158.7369696,surface,0.0,,0.0,2012.0,881.620025635,0.0,881.620025635,22234.9264241,11.0,,1.15595699243,2.0,False,0.0,7.0,9092368.94467,0.0,4014.0,M,-122.265464598,37.5106884889,2040.0
9462,,1000.0,155745852.304,0.0,150.0,381191821.25,761221.174508,3.0,Santa Clara,0.0,0,0.0,residential,1.34870527068e+12,0.0,0.0,San Jose,543729.410363,350.0,,,229400284.326,7.0,7.56225355156,647.0,0.0,0.0,1980.0,1392726,108745.882073,deck,0.2,sjo1,0.0,2012.0,736.416992188,0.0,736.416992188,647037.998332,647.0,,1.46778999476,9.0,False,0.0,11.0,156289581.715,0.0,0.0,S,-121.895481645,37.3326692585,2040.0
9463,,2202.0,1314301.84599,0.0,150.0,5216294.44087,6674.97128488,1.0,Contra Costa,0.0,0,0.0,residential,1.60978889764e+13,0.0,0.0,Brentwood,44499.8085659,14.52,,,3857492.78631,0.75,0.863529411765,3.0,0.0,0.0,9999.0,476170,8899.96171318,surface,0.0,,0.0,2012.0,919.377286784,0.0,919.377286784,5673.72559215,3.0,,2.83889320665,2.0,False,0.0,24.0,1358801.65456,0.0,0.0,M,-121.688472928,37.9537985341,2040.0
9464,,2150.2,1264098.46962,0.0,150.0,4141621.46501,6420.00238509,1.0,Contra Costa,0.0,0,0.0,residential,1.60905423269e+13,0.0,0.0,Walnut Creek,128400.047702,6.0,,,2749122.94768,0.25,0.348436233998,3.0,0.0,0.0,9999.0,734130,25680.0095404,surface,0.0,,0.0,2012.0,758.955456543,0.0,758.955456543,5457.00202733,3.0,,1.97423761209,1.0,False,0.0,22.0,1392498.51733,0.0,0.0,M,-122.056880973,37.9062634814,2040.0
9465,,1655.20020314,3305941.70436,920575.671685,815.534790649,8313480.02757,16789.9527901,2.0,Sonoma,0.0,0,0.0,residential,1.23905218668e+13,0.0,0.0,Healdsburg,1368307.74609,20.0,,,3712015.18867,0.75,0.894074543912,9.0,0.0,0.0,1948.0,1867795,22386.6037201,surface,0.0,,0.0,2012.0,582.524850464,0.0,582.524850464,14271.4598715,9.0,,0.794141439822,2.0,False,0.0,31.0,4674249.45045,0.0,1660.0,S,-122.872406061,38.6188572088,2040.0
9466,,2500.0,3870661.13131,0.0,150.0,10338036.1989,19658.0047299,1.0,Contra Costa,0.0,0,0.0,residential,4.12850390207e+12,0.0,0.0,Contra Costa County,982900.236494,2.9,,,5457052.45691,0.1,0.195808350889,7.0,0.0,0.0,9999.0,467832,196580.047299,surface,0.0,,0.0,2012.0,618.699389648,0.0,618.699389648,16709.3040204,7.0,,1.12433984931,1.0,False,0.0,21.0,4853561.36781,0.0,0.0,MH,-122.101310507,37.9454260054,2040.0
9467,,1652.0,713753.131377,1694107.4932,1415.53099365,2802286.52153,3260.63559332,2.0,Alameda,0.0,0,0.0,residential,8.43088248869e+12,0.0,0.0,Fremont,1759320.20507,27.0,,,329213.185086,1.0,1.20466699076,2.0,0.0,0.0,1994.0,308395,3260.63559332,surface,0.0,fre1,0.0,2012.0,1011.09356689,0.0,1011.09356689,2771.54025432,2.0,,0.133119054835,2.0,False,0.0,16.0,2473073.33645,0.0,1760.0,M,-122.001953058,37.5584732648,2040.0
9468,,1000.0,2486329.67103,0.0,150.0,4999432.52579,13295.8805937,3.0,Santa Clara,0.0,0,0.0,residential,1.41419239344e+13,0.0,0.0,Santa Clara County,26591.7611875,99.540586499,,,2536241.31545,2.5,2.68839697777,11.0,0.0,0.0,9999.0,1405312,5318.35223749,deck,0.2,sjo7,0.0,2012.0,552.961242676,0.0,552.961242676,11301.4985047,11.0,,1.00927998899,3.0,False,0.0,11.0,2512921.43221,0.0,0.0,S,-121.933789642,37.3236871064,2040.0
9469,,1945.37009674,701103.679085,0.0,739.313743591,2391107.91628,3202.84915068,1.0,San Mateo,0.0,0,0.0,residential,1.48729460611e+12,0.0,0.0,Daly City,59197.7598938,20.0,,,1663422.60685,1.0,1.05081299451,1.0,0.0,0.0,1952.0,1047744,3202.84915068,surface,0.0,dal1,0.0,2012.0,878.30178833,0.0,878.30178833,2722.42177808,1.0,,2.18784619043,2.0,False,0.0,5.0,760301.438979,0.0,0.0,S,-122.460241244,37.7053479752,2040.0
9470,,2500.0,370700.355931,0.0,150.0,1422150.67012,1882.68337192,1.0,Contra Costa,0.0,0,0.0,residential,7.24378542049e+12,0.0,0.0,Contra Costa County,37653.6674384,7.2,,,1008727.66351,0.25,0.486144871172,1.0,0.0,0.0,9999.0,409123,7530.73348769,surface,0.0,,0.0,2012.0,888.688167318,0.0,888.688167318,1600.28086613,1.0,,2.47022829649,1.0,False,0.0,24.0,408354.02337,0.0,0.0,MH,-121.612594831,37.9252168561,2040.0
9471,,2050.0,633171.572919,0.0,150.0,2183415.18333,3215.70123372,1.0,San Mateo,0.0,0,0.0,residential,1.36471060131e+13,0.0,0.0,San Mateo County,32157.0123372,12.0194974182,,,1518086.59808,0.5,0.665477494389,1.0,0.0,0.0,9999.0,1201451,6431.40246744,surface,0.0,,0.0,2012.0,798.806716919,0.0,798.806716919,2733.34604866,1.0,,2.28170956685,1.0,False,0.0,7.0,665328.585256,0.0,0.0,M,-122.270784097,37.4655881093,2040.0
9472,,2202.0,1251207.81255,0.0,150.0,4965882.36324,6354.53434511,1.0,Contra Costa,0.0,0,0.0,residential,3.86701039185e+11,0.0,0.0,Brentwood,42363.5623008,14.52,,,3672310.98838,0.75,0.863529411765,2.0,0.0,0.0,9999.0,467732,8472.71246015,surface,0.0,,0.0,2012.0,919.377286784,0.0,919.377286784,5401.35419335,2.0,,2.83889320665,2.0,False,0.0,24.0,1293571.37485,0.0,0.0,M,-121.687948176,37.9507404273,2040.0
9473,,2367.6,2723032.8461,1308654.05243,999.735716146,8394276.33176,13829.5218187,1.0,Contra Costa,1.0,0,0.0,residential,1.63492014969e+13,0.0,0.0,Contra Costa County,2415015.79793,6.0,,,3256227.68773,0.25,0.383665532329,4.0,0.0,0.0,1951.0,718477,55318.0872748,surface,0.0,,0.0,2012.0,714.096940104,0.0,714.096940104,11755.0935459,5.0,,0.633747929092,1.0,False,0.0,22.0,5138048.64403,1.0,1925.0,M,-122.063927744,37.8913274767,2040.0
9474,,2202.0,817631.494488,0.0,150.0,3118798.03937,4152.52155657,1.0,Contra Costa,0.0,0,0.0,residential,4.87321431469e+12,0.0,0.0,Brentwood,83050.4311313,4.3,,,2218116.11376,0.25,0.255728407065,2.0,0.0,0.0,2007.0,462640,16610.0862263,surface,0.0,,0.0,2012.0,883.601472982,0.0,883.601472982,3529.64332308,2.0,,2.46270747826,1.0,False,0.0,24.0,900681.925619,0.0,0.0,M,-121.705695351,37.9486458191,2040.0
9475,,2500.0,418444.928483,0.0,150.0,1769589.20498,2125.16469519,1.0,Contra Costa,0.0,0,0.0,residential,2.55978039166e+12,0.0,0.0,San Ramon,42503.2939038,5.0,,,1302097.77768,0.25,0.33760060498,1.0,0.0,0.0,2009.0,693607,8500.65878076,surface,0.0,,0.0,2012.0,979.627441406,0.0,979.627441406,1806.38999091,1.0,,2.82482438252,1.0,False,0.0,23.0,460948.222387,0.0,0.0,MH,-121.884672775,37.746600017,2040.0
9476,,1787.0,522977.301181,0.0,843.510310872,1360248.98068,2656.05536405,1.0,Contra Costa,0.0,0,0.0,residential,2.25389185199e+12,0.0,0.0,San Ramon,212484.429124,6.0,,,624787.250373,0.25,0.289580294928,1.0,0.0,0.0,1961.0,489112,10624.2214562,surface,0.0,,0.0,2012.0,602.507364909,0.0,602.507364909,2257.64705944,1.0,,0.849517010374,1.0,False,0.0,23.0,735461.730305,0.0,0.0,M,-121.930492916,37.7306219192,2040.0
9477,,2012.0,4554023.23289,0.0,150.0,13613772.9767,23128.6096134,1.0,Contra Costa,0.0,0,0.0,residential,1.50097692635e+12,0.0,0.0,Oakley,1156430.48067,2.3,,,7863802.66682,0.1,0.124982444769,10.0,0.0,0.0,9999.0,535457,231286.096134,surface,0.0,,0.0,2012.0,692.484493001,0.0,692.484493001,19659.3181714,10.0,,1.37708894271,1.0,False,0.0,24.0,5710453.71356,0.0,0.0,MH,-121.681906019,37.9753772083,2040.0
